sent=1 sample=0 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=1 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=2 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=3 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=4 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=5 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=6 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=7 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=8 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=9 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=10 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=11 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=12 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=13 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=14 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=15 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=16 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=17 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=18 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=19 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=20 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=21 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=22 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=23 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=24 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=25 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=26 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=27 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=28 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=29 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=30 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=31 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=32 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=33 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=34 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=35 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=36 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=37 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=38 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=39 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=40 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=41 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=42 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=43 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=44 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=45 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=46 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=47 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=48 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=49 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=50 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=51 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=52 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=53 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=54 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=55 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=56 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=57 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=58 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=59 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=60 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=61 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=62 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=63 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=64 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=65 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=66 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=67 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=68 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=69 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=70 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=71 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=72 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=73 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=74 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=75 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=76 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=77 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=78 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=79 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=80 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=81 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=82 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=83 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=84 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=85 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=86 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=87 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=88 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=89 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=90 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=91 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=92 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=93 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=94 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=95 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=96 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=97 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=98 ||| proposal=-0.00288582 ||| joint=-59.6851
sent=1 sample=99 ||| proposal=-0.00288582 ||| joint=-59.6851
prob: -59.68221418 (len=7)
sent=2 sample=0 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=1 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=2 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=3 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=4 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=5 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=6 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=7 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=8 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=9 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=10 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=11 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=12 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=13 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=14 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=15 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=16 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=17 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=18 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=19 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=20 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=21 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=22 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=23 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=24 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=25 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=26 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=27 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=28 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=29 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=30 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=31 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=32 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=33 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=34 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=35 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=36 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=37 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=38 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=39 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=40 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=41 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=42 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=43 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=44 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=45 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=46 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=47 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=48 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=49 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=50 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=51 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=52 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=53 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=54 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=55 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=56 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=57 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=58 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=59 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=60 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=61 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=62 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=63 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=64 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=65 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=66 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=67 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=68 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=69 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=70 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=71 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=72 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=73 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=74 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=75 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=76 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=77 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=78 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=79 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=80 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=81 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=82 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=83 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=84 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=85 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=86 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=87 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=88 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=89 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=90 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=91 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=92 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=93 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=94 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=95 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=96 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=97 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=98 ||| proposal=-0.0020504 ||| joint=-57.5832
sent=2 sample=99 ||| proposal=-0.0020504 ||| joint=-57.5832
prob: -57.5811496 (len=7)
sent=3 sample=0 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=1 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=2 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=3 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=4 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=5 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=6 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=7 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=8 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=9 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=10 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=11 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=12 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=13 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=14 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=15 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=16 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=17 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=18 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=19 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=20 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=21 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=22 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=23 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=24 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=25 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=26 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=27 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=28 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=29 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=30 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=31 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=32 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=33 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=34 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=35 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=36 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=37 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=38 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=39 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=40 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=41 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=42 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=43 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=44 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=45 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=46 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=47 ||| proposal=-0.00964546 ||| joint=-61.3199
sent=3 sample=48 ||| proposal=-0.00964546 ||| joint=-61.3199
